Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,50,0,24000.0,23557.17379848007,18705.106042998523,27661.518881999655,4249.0,0.8927177589349516,0.0,24000,25000,25000,25000,26000,26000,28000,28000,28000,28000,28000
POST,POST /login [cadastro aluno],10,0,18000.0,21300.11507719937,15870.81402399781,27943.708277998667,354.0,0.17854355178699033,0.0,22000,22000,26000,28000,28000,28000,28000,28000,28000,28000,28000
POST,POST /login [consulta aluno],8,0,24000.0,23045.837557124287,18380.90609899882,28706.85996699831,354.0,0.14283484142959224,0.0,24000,24000,28000,28000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,68,0,24000.0,23165.09619342635,15870.81402399781,28706.85996699831,3217.970588235294,1.214096152151534,0.0,24000,25000,25000,25000,26000,28000,28000,29000,29000,29000,29000
