Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,33,0,8400.0,6838.0959224858525,1309.5868870004779,12340.769866998016,41545.93939393939,0.5643697582853797,0.0,8400,9600,10000,10000,11000,11000,12000,12000,12000,12000,12000
GET,GET /module/Api/Aluno [aluno-search],14,0,3200.0,4639.790102285458,1037.1360249991994,10493.669283998315,564.0,0.2394295944241005,0.0,4000,4600,8000,9100,10000,10000,10000,10000,10000,10000,10000
GET,GET /module/Api/Aluno [matriculas],7,0,2100.0,3033.120458429039,939.2468990045018,7713.567436003359,86.0,0.11971479721205025,0.0,2100,2300,4100,4100,7700,7700,7700,7700,7700,7700,7700
GET,GET /module/Api/Aluno [por id],10,0,3500.0,5622.51479789993,1036.0607100010384,10653.69383700454,2440.0,0.1710211388743575,0.0,8100,8100,8100,11000,11000,11000,11000,11000,11000,11000,11000
POST,POST /login [consulta id],10,0,4100.0,4660.252641299303,1735.4217109968886,8268.16180699825,354.0,0.1710211388743575,0.0,4100,4900,7700,8200,8300,8300,8300,8300,8300,8300,8300
POST,POST /login [consulta matriculas],7,0,2700.0,3539.914357140203,1518.4531630002311,7431.1581869988,354.0,0.11971479721205025,0.0,2700,3700,5000,5000,7400,7400,7400,7400,7400,7400,7400
POST,POST /login [consulta nome],15,0,2600.0,3050.2281794678615,957.2148540028138,8218.667897002888,354.0,0.25653170831153627,0.0,2600,3100,4100,4900,5000,8200,8200,8200,8200,8200,8200
,Aggregated,96,0,4000.0,5054.235079864839,939.2468990045018,12340.769866998016,14742.104166666666,1.641802933193832,0.0,4000,7700,8200,9200,10000,11000,11000,12000,12000,12000,12000
