Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /intranet [dashboard],2,0,17014.50104599644,20343.550509500346,17014.50104599644,23672.599973004253,57762.0,0.04012821998329873,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,GET /login,1,0,3813.894989005348,3813.894989005348,3813.894989005348,3813.894989005348,4249.0,0.020064109991649363,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
POST,POST /login [navegacao],1,0,5341.305538997403,5341.305538997403,5341.305538997403,5341.305538997403,354.0,0.020064109991649363,0.0,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
,Aggregated,4,0,5300.0,12460.575386750861,3813.894989005348,23672.599973004253,30031.75,0.08025643996659745,0.0,17000,17000,24000,24000,24000,24000,24000,24000,24000,24000,24000
