Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,2,0,4600.0,12916.147445000206,4581.688345000657,21250.606544999755,31005.5,0.040801985544925694,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,GET /module/Api/Aluno [aluno-search],2,0,3719.567738000478,6619.256572000268,3719.567738000478,9518.945406000057,570.0,0.040801985544925694,0.0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
POST,POST /login [consulta nome],2,0,3500.0,4220.622042499599,3464.5015360001707,4976.742548999027,354.0,0.040801985544925694,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
,Aggregated,6,0,4600.0,7918.675353166691,3464.5015360001707,21250.606544999755,10643.166666666666,0.12240595663477707,0.0,5000,5000,9500,9500,21000,21000,21000,21000,21000,21000,21000
