Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /intranet [configuracoes],15,0,4500.0,4154.643793666764,1195.4596979994676,6860.681952999585,26286.0,0.2572864805602643,0.0,4500,5400,5400,5400,5500,6900,6900,6900,6900,6900,6900
GET,GET /intranet [exportacao_usuarios],14,0,3200.0,2990.320074857404,814.2286639995291,4439.837074000025,41010.0,0.24013404852291337,0.0,3200,3200,4300,4400,4400,4400,4400,4400,4400,4400,4400
GET,GET /login,15,0,3000.0,4136.634271999962,1916.7118209988985,13559.457508999913,39924.333333333336,0.2572864805602643,0.0,3000,4800,5300,5400,5500,14000,14000,14000,14000,14000,14000
GET,GET /module/Api/UsuarioExport [exportarDados],14,0,440.0,1367.75057207134,306.5410769995651,3554.6461419999105,169.0,0.24013404852291337,0.0,770,800,3500,3500,3600,3600,3600,3600,3600,3600,3600
GET,GET /module/Api/escola [escolas-para-selecao],14,0,2500.0,2755.978929642879,2231.082588999925,3617.3700649997045,95.0,0.24013404852291337,0.0,2500,2600,3500,3500,3600,3600,3600,3600,3600,3600,3600
POST,POST /login [exportacao],15,0,1600.0,3084.6695419333023,267.7770279988181,8049.027352000849,354.0,0.2572864805602643,0.0,1600,1600,7900,7900,8000,8000,8000,8000,8000,8000,8000
,Aggregated,87,0,2600.0,3106.1598642069334,267.7770279988181,13559.457508999913,18118.402298850575,1.492261587249533,0.0,2600,3500,4400,4500,5400,7900,8000,14000,14000,14000,14000
