Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /intranet [configuracoes],10,0,12000.0,12284.26461900035,10873.16255100086,13574.124312001004,26286.0,0.2341979896849684,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,GET /intranet [exportacao_usuarios],10,0,7600.0,7686.344352300148,6956.614897999316,7965.154948999043,41010.0,0.2341979896849684,0.0,7900,7900,7900,8000,8000,8000,8000,8000,8000,8000,8000
GET,GET /login,10,0,2400.0,3035.327210899777,2342.3752059989056,3840.4429590009386,4249.0,0.2341979896849684,0.0,3600,3600,3700,3700,3800,3800,3800,3800,3800,3800,3800
GET,GET /module/Api/UsuarioExport [exportarDados],10,0,3200.0,4554.406194299736,2766.186357001061,6081.001477999962,169.0,0.2341979896849684,0.0,6000,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100
GET,GET /module/Api/escola [escolas-para-selecao],10,0,7200.0,7320.960637600183,7182.246907999797,7650.8909149997635,95.0,0.2341979896849684,0.0,7300,7400,7400,7400,7700,7700,7700,7700,7700,7700,7700
POST,POST /login [exportacao],10,0,5000.0,6986.427647299752,4924.35970599945,9096.905533999234,354.0,0.2341979896849684,0.0,8900,9000,9000,9100,9100,9100,9100,9100,9100,9100,9100
,Aggregated,60,0,7200.0,6977.9551102333235,2342.3752059989056,13574.124312001004,12027.166666666666,1.4051879381098105,0.0,7200,7700,8900,9100,12000,14000,14000,14000,14000,14000,14000
