Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /alunos,9,9,7700.0,5608.107947889948,410.00994199566776,9505.784450993815,8068.0,0.1730636312920874,0.1730636312920874,7700,9100,9100,9500,9500,9500,9500,9500,9500,9500,9500
GET,GET /login,41,0,7300.0,6761.856846927159,1924.628152999503,14980.926959004137,44708.53658536585,0.7884009869972871,0.0,7300,7800,8800,8900,9200,12000,15000,15000,15000,15000,15000
POST,POST /login [falha esperada],7,0,1300.0,1355.7688107165243,608.6647420015652,2072.9225680042873,354.0,0.13460504656051245,0.0,1300,1700,2000,2000,2100,2100,2100,2100,2100,2100,2100
POST,POST /login [nav aluno],9,0,3700.0,3128.615402334415,462.8537129974575,7729.780027002562,354.0,0.1730636312920874,0.0,3700,4400,4500,4700,7700,7700,7700,7700,7700,7700,7700
POST,POST /login [sucesso],25,0,2100.0,2514.8042252793675,448.45997499942314,7666.344613004185,354.0,0.4807323091446873,0.0,2100,2400,2600,4500,5300,7700,7700,7700,7700,7700,7700
,Aggregated,91,9,4400.0,4705.792617395963,410.00994199566776,14980.926959004137,21100.835164835164,1.7498656052866617,0.1730636312920874,4400,7000,7700,7700,9100,9500,13000,15000,15000,15000,15000
