Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,20,0,7200.0,8197.515062300408,1689.5867189996352,13487.250890000723,44383.75,0.37671655197523934,0.0,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,GET /module/Api/Aluno [aluno-search],8,0,900.0,1801.2256781248652,652.4513240001397,2852.6035449995106,570.0,0.15068662079009573,0.0,2800,2800,2800,2800,2900,2900,2900,2900,2900,2900,2900
GET,GET /module/Api/Aluno [matriculas],6,0,720.0,1278.8406709999738,672.025197000039,1937.7495999997336,86.0,0.11301496559257179,0.0,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,GET /module/Api/Aluno [por id],6,0,960.0,1688.0159126670453,907.2668879998673,3044.7406330004014,2440.0,0.11301496559257179,0.0,2100,2100,2200,2200,3000,3000,3000,3000,3000,3000,3000
POST,POST /login [consulta id],6,0,1600.0,1694.8715533332386,1099.9379080003564,2982.6131499994517,354.0,0.11301496559257179,0.0,1600,1600,1700,1700,3000,3000,3000,3000,3000,3000,3000
POST,POST /login [consulta matriculas],6,0,1600.0,1648.9247940001708,1526.2709290000203,1747.861161000401,354.0,0.11301496559257179,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,POST /login [consulta nome],8,0,1700.0,2058.287813625384,704.0592580015073,2961.641755000528,354.0,0.15068662079009573,0.0,2900,2900,2900,2900,3000,3000,3000,3000,3000,3000,3000
,Aggregated,60,0,1800.0,3878.1721127668793,652.4513240001397,13487.250890000723,15241.183333333332,1.130149655925718,0.0,1900,2900,5000,5900,12000,13000,13000,13000,13000,13000,13000
