Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /intranet [configuracoes],2,0,2600.0,3623.5437775003447,2589.6515599997656,4657.435995000924,26286.0,0.034141049938561756,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,GET /intranet [dashboard],14,0,6400.0,8913.762907928296,5341.286974999093,13433.275322000554,57762.0,0.23898734956993228,0.0,7900,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,GET /intranet [enderecamento],5,0,3800.0,3620.643757599828,2878.032925000298,3851.576560999092,18034.0,0.08535262484640439,0.0,3800,3800,3800,3900,3900,3900,3900,3900,3900,3900,3900
GET,GET /intranet [exportacao],1,0,4368.420979999428,4368.420979999428,4368.420979999428,4368.420979999428,41010.0,0.017070524969280878,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,GET /intranet [pessoas],4,0,2500.0,2679.6509745004187,2496.324784000535,2837.8607150007156,21563.0,0.06828209987712351,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,GET /login,9,0,3300.0,6578.552381778233,3175.070567000148,12721.463867999773,28032.555555555555,0.1536347247235279,0.0,3300,7700,10000,12000,13000,13000,13000,13000,13000,13000,13000
POST,POST /login [navegacao],9,0,4000.0,3233.8451612223353,1654.0312739998626,4000.9112200004893,354.0,0.1536347247235279,0.0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,Aggregated,44,0,4000.0,5762.308859522778,1654.0312739998626,13433.275322000554,30321.613636363636,0.7511030986483587,0.0,4000,5800,7700,9000,13000,13000,13000,13000,13000,13000,13000
