Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,100,60,30000.0,22417.06029335996,3047.294446999331,30121.134345000428,1699.6,1.7200792604615203,1.0320475562769122,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /module/Api/Aluno [aluno-search],4,4,30018.451232999723,30039.96125474987,30018.451232999723,30069.01180299974,0.0,0.0688031704184608,0.0688031704184608,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /module/Api/Aluno [matriculas],7,7,30003.90896800036,30027.38948599979,30003.90896800036,30054.663893999532,0.0,0.12040554823230641,0.12040554823230641,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /module/Api/Aluno [por id],1,1,30006.828904999566,30006.828904999566,30006.828904999566,30006.828904999566,0.0,0.0172007926046152,0.0172007926046152,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,POST /login [consulta id],5,0,26000.0,28326.453180200224,7613.105160000487,46338.78953200019,354.0,0.08600396302307602,0.0,26000,35000,35000,46000,46000,46000,46000,46000,46000,46000,46000
POST,POST /login [consulta matriculas],11,0,18000.0,20428.88099109082,7596.538380000311,46342.91995900003,354.0,0.18920871865076722,0.0,18000,26000,27000,27000,35000,46000,46000,46000,46000,46000,46000
POST,POST /login [consulta nome],8,0,18000.0,26107.962191375238,10056.847328000003,46377.98632300019,354.0,0.1376063408369216,0.0,26000,35000,46000,46000,46000,46000,46000,46000,46000,46000,46000
,Aggregated,136,72,30000.0,23362.338852911726,3047.294446999331,46377.98632300019,1312.1764705882354,2.3393077942276674,1.2384570675322946,30000,30000,30000,30000,30000,35000,46000,46000,46000,46000,46000
