Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /alunos,1,1,30035.77727099946,30035.77727099946,30035.77727099946,30035.77727099946,0.0,0.017620542197803766,0.017620542197803766,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /login,53,18,20000.0,18955.810445358642,3356.6272419993766,30049.879000000146,2805.943396226415,0.9338887364835997,0.31716975956046783,20000,27000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,POST /login [falha esperada],2,0,42217.263127999104,44214.44135549973,42217.263127999104,46211.619583000356,378.0,0.03524108439560753,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
POST,POST /login [nav aluno],5,0,32000.0,32340.937958399812,12039.008441000988,46505.752086999564,354.0,0.08810271098901884,0.0,32000,43000,43000,47000,47000,47000,47000,47000,47000,47000,47000
POST,POST /login [sucesso],10,0,28000.0,29850.91320320007,11982.001839000077,43883.38574499903,354.0,0.17620542197803768,0.0,32000,43000,44000,44000,44000,44000,44000,44000,44000,44000,44000
,Aggregated,71,19,24000.0,22300.51317478883,3356.6272419993766,46505.752086999564,2180.0140845070423,1.2510584960440674,0.33479030175827157,24000,30000,30000,30000,42000,44000,46000,47000,47000,47000,47000
