Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /alunos,3,0,10000.0,9780.674943332997,6223.603504000494,12892.037397999957,4249.0,0.051105642339971155,0.0,10000,10000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,GET /login,43,0,4700.0,4947.763445418173,1071.0566130001098,8719.125019997591,4441.837209302325,0.7325142068729199,0.0,4700,5200,5800,5800,8700,8700,8700,8700,8700,8700,8700
POST,POST /login [falha esperada],10,10,6500.0,5774.3268452995835,1360.4068770000595,7167.393079998874,378.0,0.17035214113323718,0.17035214113323718,6500,6700,6700,6800,7200,7200,7200,7200,7200,7200,7200
POST,POST /login [nav aluno],5,0,6200.0,6074.3985684006475,4742.780035001488,6812.385171997448,378.0,0.08517607056661859,0.0,6200,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800
POST,POST /login [sucesso],24,0,6700.0,6634.746643166939,5838.0254469993815,7767.906445002154,378.0,0.40884513871976924,0.0,6700,6800,6800,7200,7200,7200,7800,7800,7800,7800,7800
,Aggregated,85,10,5800.0,5758.176867223364,1071.0566130001098,12892.037397999957,2570.4470588235295,1.4479931996325162,0.17035214113323718,5800,6700,6700,6800,7500,8700,10000,13000,13000,13000,13000
