Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /alunos,3,3,1100.0,1189.8120903327556,831.09184299974,1596.7848729997058,8068.0,0.051467197602330886,0.051467197602330886,1100,1100,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,GET /login,30,0,4600.0,5621.310817866713,1642.8039660022478,11240.24399699556,47060.433333333334,0.5146719760233088,0.0,5200,6200,8000,10000,11000,11000,11000,11000,11000,11000,11000
POST,POST /login [falha esperada],7,0,1300.0,1302.890774712848,443.7052479988779,2389.8261560025276,357.42857142857144,0.12009012773877206,0.0,1300,1500,1500,1500,2400,2400,2400,2400,2400,2400,2400
POST,POST /login [nav aluno],4,0,1600.0,1510.9813069975644,449.72220699855825,2349.50440099783,354.0,0.06862293013644118,0.0,1700,1700,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,POST /login [sucesso],19,0,1500.0,1570.6940952107911,357.0198720044573,2866.5698359982343,354.0,0.3259589181480956,0.0,1500,2300,2500,2500,2600,2900,2900,2900,2900,2900,2900
,Aggregated,63,3,2400.0,3447.874750269601,357.0198720044573,11240.24399699556,22962.873015873014,1.0808111496489485,0.051467197602330886,2400,2900,4600,5500,8000,11000,11000,11000,11000,11000,11000
