Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /intranet [configuracoes],1,0,8284.363397000561,8284.363397000561,8284.363397000561,8284.363397000561,26286.0,0.0171010531018485,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
GET,GET /intranet [dashboard],17,0,22000.0,22692.42828117657,19481.66667100122,27406.311567998273,57762.0,0.2907179027314245,0.0,22000,24000,25000,25000,27000,27000,27000,27000,27000,27000,27000
GET,GET /intranet [enderecamento],2,0,8000.0,8117.399739499888,7981.351129999894,8253.448348999882,18034.0,0.034202106203697,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
GET,GET /intranet [exportacao],1,0,6876.8760039984045,6876.8760039984045,6876.8760039984045,6876.8760039984045,41010.0,0.0171010531018485,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,GET /intranet [pessoas],2,0,5646.55173599931,6097.582788499494,5646.55173599931,6548.613840999678,21563.0,0.034202106203697,0.0,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
GET,GET /login,10,0,2500.0,2458.918089999861,2014.9502669992216,3872.6160610003717,4249.0,0.171010531018485,0.0,2500,2500,2600,2600,3900,3900,3900,3900,3900,3900,3900
POST,POST /login [navegacao],10,0,5100.0,8456.630024000333,5000.429992000136,12269.967353999164,354.0,0.171010531018485,0.0,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
,Aggregated,43,0,10000.0,12523.67363667445,2014.9502669992216,27406.311567998273,27313.3488372093,0.7353452833794855,0.0,10000,20000,21000,22000,25000,27000,27000,27000,27000,27000,27000
