Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,100,20,20000.0,20719.615674029992,8998.848019999969,30062.729512000034,3399.2,1.7249980842969235,0.3449996168593847,21000,26000,29000,30000,30000,30000,30000,30000,30000,30000,30000
POST,POST /login [falha esperada],8,0,25000.0,25606.488627750008,19331.71366900001,35776.76379700006,378.0,0.13799984674375387,0.0,25000,28000,28000,28000,36000,36000,36000,36000,36000,36000,36000
POST,POST /login [nav aluno],5,0,35000.0,29699.072306000035,20928.74786599998,35701.47620900002,378.0,0.08624990421484617,0.0,35000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
POST,POST /login [sucesso],20,0,32000.0,29513.56539585,19332.666169000047,35690.80343400003,378.0,0.3449996168593847,0.0,32000,32000,35000,35000,36000,36000,36000,36000,36000,36000,36000
,Aggregated,133,20,23000.0,22673.534931368424,8998.848019999969,35776.76379700006,2649.5789473684213,2.294247452114908,0.3449996168593847,23000,28000,30000,30000,32000,35000,36000,36000,36000,36000,36000
