Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,1,0,9649.767011999757,9649.767011999757,9649.767011999757,9649.767011999757,4249.0,0.04201675713989924,0.0,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
POST,POST /login [sucesso],1,0,14145.677928999248,14145.677928999248,14145.677928999248,14145.677928999248,354.0,0.04201675713989924,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
,Aggregated,2,0,9649.767011999757,11897.722470499502,9649.767011999757,14145.677928999248,2301.5,0.08403351427979848,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
