Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /intranet [configuracoes],1,0,8512.683763998211,8512.683763998211,8512.683763998211,8512.683763998211,26286.0,0.02729962563822081,0.0,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
GET,GET /intranet [exportacao_usuarios],1,0,4790.756778005743,4790.756778005743,4790.756778005743,4790.756778005743,41010.0,0.02729962563822081,0.0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,GET /login,1,0,4542.145416999119,4542.145416999119,4542.145416999119,4542.145416999119,4249.0,0.02729962563822081,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
GET,GET /module/Api/UsuarioExport [exportarDados],1,0,4299.823312998342,4299.823312998342,4299.823312998342,4299.823312998342,169.0,0.02729962563822081,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,GET /module/Api/escola [escolas-para-selecao],1,0,9359.766674999264,9359.766674999264,9359.766674999264,9359.766674999264,95.0,0.02729962563822081,0.0,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
POST,POST /login [exportacao],1,0,5123.682639001345,5123.682639001345,5123.682639001345,5123.682639001345,354.0,0.02729962563822081,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
,Aggregated,6,0,4800.0,6104.8097643336705,4299.823312998342,9359.766674999264,12027.166666666666,0.16379775382932485,0.0,5100,5100,8500,8500,9400,9400,9400,9400,9400,9400,9400
